ID,ingresos,edad,provincia_codigo,bancarizado,BCRA_Peor_Situacion,Cantidad_consultas_7_dias,Compromisos_Mensual,Endeudamiento_Externo,Nivel_Socioeconomico,Deuda_normal,Deuda_30,Deuda_90,deuda_120,deuda_180,canti_moras,autonomo,Es_jubilado,relacion_dependencia,dias_atraso,Cuota,cant_cuotas,Monto_Otorgado,PRODUCTO,PROVINCIA,moroso
1,35000.00,35,X,1,1,1,9976.00,170000.00,4,170000.00,0.00,0.00,0.00,0.00,0,F,F,UNIVERSIDAD NACIONAL DE CORDOBA                             ,143,8957.00,12,50000.00,DS_SUCURSAL_ORO,CORDOBA,1
2,50000.00,24,B,1,3,0,16807.00,236000.00,4,187000.00,0.00,11000.00,0.00,38000.00,0,F,F,POLICIA FEDERAL ARGENTINA                                   ,174,6874.49,9,25000.00,DS_BASICO,BUENOS AIRES,1
3,50000.00,42,X,1,1,5,42959.00,683343.00,3,683343.00,0.00,0.00,0.00,0.00,0,F,F,MINISTERIO DE EDUCACION                                     ,0,4191.93,12,23400.00,DS_SUCURSAL_ORO,CORDOBA,0
4,32000.00,21,H,1,1,3,7583.00,76000.00,5,76000.00,0.00,0.00,0.00,0.00,0,F,F,CONTADURIA GENERAL DEL EJERCITO                             ,23,3667.60,12,16000.00,DS_BASICO,CHACO,0
5,50000.00,21,Z,1,1,4,1040.00,23000.00,5,23000.00,0.00,0.00,0.00,0.00,0,F,F,CONTADURIA GENERAL DEL EJERCITO                             ,0,3891.04,6,15000.00,DS_SUCURSAL_ORO,SANTA CRUZ,0
6,80000.00,50,X,1,1,8,11053.00,25000.00,3,25000.00,0.00,0.00,0.00,0.00,0,F,F,FUERZA AEREA ARGENTINA                                      ,112,6541.18,15,30000.00,DS_BASICO,CORDOBA,1
7,15000.00,58,A,1,1,1,3013.00,51000.00,7,51000.00,0.00,0.00,0.00,0.00,0,F,V,,0,2422.85,12,10000.00,DS_SUCURSAL_ORO,SALTA,0
8,63000.00,27,B,1,5,1,14564.00,336000.00,5,314000.00,0.00,0.00,0.00,22000.00,0,F,F,GENDARMERIA NACIONAL                                        ,0,5284.14,12,25000.00,DS_BASICO,BUENOS AIRES,0
9,60000.00,24,B,1,1,1,13500.00,121000.00,3,121000.00,0.00,0.00,0.00,0.00,0,F,F,POLICIA FEDERAL ARGENTINA                                   ,174,7614.73,12,30000.00,DS_BASICO,BUENOS AIRES,1
10,62000.00,35,Q,1,1,,12332.00,226000.00,5,226000.00,0.00,0.00,0.00,0.00,2,F,F,CONTADURIA GENERAL DEL EJERCITO                             ,143,3259.44,6,10000.00,DS_BASICO,NEUQUEN,1
11,90000.00,40,C,1,1,1,3992.00,31000.00,3,31000.00,0.00,0.00,0.00,0.00,0,F,F,POLICIA FEDERAL ARGENTINA                                   ,0,6540.63,6,21500.00,DS_BASICO,CAPITAL FEDERAL,0
12,48000.00,57,B,1,1,1,20221.00,180000.00,5,180000.00,0.00,0.00,0.00,0.00,0,F,F,SERVICIO NACIONAL DE SANIDAD Y CALIDAD AGROALIMENTARIA SENAS,0,8683.85,15,52500.00,DS_SUCURSAL_ORO,BUENOS AIRES,0
13,27900.00,20,B,1,1,12,4175.00,87000.00,4,87000.00,0.00,0.00,0.00,0.00,0,F,F,FUERZA AEREA ARGENTINA                                      ,0,3389.17,15,13900.00,DS_BASICO,BUENOS AIRES,0
14,50000.00,42,T,1,2,0,11936.00,186000.00,5,170000.00,16000.00,0.00,0.00,0.00,0,F,F,SUPERIOR GOBIERNO DE LA PCIA DE TUCUMAN                     ,84,5284.14,12,25000.00,DS_BASICO,TUCUMAN,0
15,35000.00,42,N,1,5,1,20880.00,471000.00,4,442000.00,0.00,0.00,0.00,29000.00,0,F,F,MUNICIPALIDAD DE ELDORADO                                   ,53,3259.44,6,10000.00,DS_BASICO,MISIONES,0
